State,1969-70,1979-80,1989-90,1999-2000,2009-10,2019-20,2020-21,2021-22,1969-70,1979-80,1989-90,1999-2000,2009-10,2019-20,2020-21,2021-22,"Percent change, 1999-2000 to
 2009-10","Percent change, 2009-10 to
 2021-22"
   United States ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",3.5,-7.8
Alabama ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",1.3,-9.8
Alaska ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",0.3,-5.1
Arizona ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",-0.6,-10.7
Arkansas ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",9.3,-13.6
California ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",11.7,-1.7
Colorado ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",0.7,-8.7
Connecticut ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",-2.9,-3.0
Delaware ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",0.3,-11.6
District of Columbia ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",7.1,-1.7
